S.No.,S.No..1,Company Name ,Local Code,Market,Sector,wiki_code
,1027,Kaneka Corporation,4118,Prime Market,Chemicals,Q11294493
,1028,"Kyowa Kirin Co.,Ltd.",4151,Prime Market,Pharmaceutical,unknown
,1030,"Mitsubishi Gas Chemical Company,Inc",4182,Prime Market,Chemicals,unknown
,1031,"Mitsui Chemicals,Inc",4183,Prime Market,Chemicals,unknown
,1033,"Tokyo Ohka Kogyo Co.,Ltd.",4186,Prime Market,Chemicals,unknown
,1034,Osaka Organic Chemical Industry Ltd.,4187,Prime Market,Chemicals,unknown
,1035,Mitsubishi Chemical Group Corporation,4188,Prime Market,Chemicals,unknown
,1037,Daicel Corporation,4202,Prime Market,Chemicals,unknown
,1038,"Sumitomo Bakelite Company,Limited",4203,Prime Market,Chemicals,unknown
,1039,"Sekisui Chemical Co.,Ltd.",4204,Prime Market,Chemicals,unknown
,1040,Zeon Corporation,4205,Prime Market,Chemicals,Q9097645
,1041,"Aica Kogyo Company,Limited",4206,Prime Market,Chemicals,unknown
,1042,Ube Corporation,4208,Prime Market,Chemicals,unknown
,1043,Sekisui Jushi Corporation,4212,Prime Market,Chemicals,Q11597151
,1044,C.I. Takiron Corporation,4215,Prime Market,Chemicals,unknown
,1045,Asahi Yukizai Corporation,4216,Prime Market,Chemicals,unknown
,1046,"Nichiban Co.,Ltd.",4218,Prime Market,Chemicals,unknown
,1047,Riken Technos Corporation,4220,Prime Market,Chemicals,unknown
,1048,"Okura Industrial Co.,Ltd.",4221,Prime Market,Chemicals,Q11432425
,1049,"Sekisui Kasei Co.,Ltd.",4228,Prime Market,Chemicals,unknown
,1050,"Gun Ei Chemical Industry Co.,Ltd.",4229,Prime Market,Chemicals,unknown
,1054,"Nippon Kayaku Co.,Ltd.",4272,Prime Market,Chemicals,unknown
,1055,"Carlit Holdings Co.,Ltd.",4275,Prime Market,Chemicals,unknown
,1056,Prestige International Inc,4290,Prime Market,Services,unknown
,1057,Proto Corporation,4298,Prime Market,Information & Communication,Q11336096
,1058,Amuse Inc.,4301,Prime Market,Services,Q719628
,1059,"Nomura Research Institute,Ltd.",4307,Prime Market,Information & Communication,unknown
,1060,Dream Incubator Inc,4310,Prime Market,Services,unknown
,1061,"Quick Co.,Ltd.",4318,Prime Market,Services,unknown
,1062,"Japan System Techniques Co.,Ltd.",4323,Prime Market,Information & Communication,unknown
,1063,Dentsu Group Inc.,4324,Prime Market,Services,unknown
,1064,Intage Holdings Inc,4326,Prime Market,Information & Communication,unknown
,1065,"Take And Give. Needs Co.,Ltd.",4331,Prime Market,Services,unknown
,1066,"Toho System Science Co.,Ltd.",4333,Prime Market,Information & Communication,unknown
,1067,Pia Corporation,4337,Prime Market,Services,Q11276881
,1068,"Aeon Fantasy Co.,Ltd.",4343,Prime Market,Services,unknown
,1069,Sourcenext Corporation,4344,Prime Market,Information & Communication,unknown
,1070,"Cts Co.,Ltd.",4345,Prime Market,Services,unknown
,1071,Infocom Corporation,4348,Prime Market,Information & Communication,Q11287743
,1072,"Nippon Fine Chemical Co.,Ltd.",4362,Prime Market,Chemicals,unknown
,1073,"Fuso Chemical Co.,Ltd.",4368,Prime Market,Chemicals,unknown
,1074,Tri Chemical Laboratories Inc,4369,Prime Market,Chemicals,unknown
,1081,Adeka Corporation,4401,Prime Market,Chemicals,Q11188921
,1082,Nof Corporation,4403,Prime Market,Chemicals,unknown
,1083,"Harima Chemicals Group,Inc.",4410,Prime Market,Chemicals,unknown
,1085,"Hito-Communications Holdings,Inc",4433,Prime Market,Information & Communication,unknown
,1089,Kao Corporation,4452,Prime Market,Chemicals,Q902855
,1090,Dks Co.Ltd.,4461,Prime Market,Chemicals,unknown
,1091,"Ishihara Chemical Co.,Ltd.",4462,Prime Market,Chemicals,unknown
,1092,"Sanyo Chemical Industries,Ltd.",4471,Prime Market,Chemicals,unknown
,1096,Takeda Pharmaceutical Company Limited,4502,Prime Market,Pharmaceutical,unknown
,1097,Astellas Pharma Inc,4503,Prime Market,Pharmaceutical,unknown
,1098,"Sumitomo Pharma Co.,Ltd.",4506,Prime Market,Pharmaceutical,unknown
,1099,"Shionogi & Co.,Ltd.",4507,Prime Market,Pharmaceutical,unknown
,1100,"Nippon Shinyaku Co.,Ltd.",4516,Prime Market,Pharmaceutical,unknown
,1101,"Chugai Pharmaceutical Co.,Ltd.",4519,Prime Market,Pharmaceutical,unknown
,1102,"Kaken Pharmaceutical Co.,Ltd.",4521,Prime Market,Pharmaceutical,unknown
,1103,"Eisai Co.,Ltd.",4523,Prime Market,Pharmaceutical,unknown
,1104,"Riken Vitamin Co.,Ltd.",4526,Prime Market,Foods,unknown
,1105,"Rohto Pharmaceutical Co.,Ltd.",4527,Prime Market,Pharmaceutical,unknown
,1106,"Ono Pharmaceutical Co.,Ltd.",4528,Prime Market,Pharmaceutical,unknown
,1107,"Hisamitsu Pharmaceutical Co.,Inc.",4530,Prime Market,Pharmaceutical,unknown
,1108,"Mochida Pharmaceutical Co.,Ltd.",4534,Prime Market,Pharmaceutical,unknown
,1109,"Santen Pharmaceutical Co.,Ltd.",4536,Prime Market,Pharmaceutical,unknown
,1110,"Fuso Pharmaceutical Industries,Ltd.",4538,Prime Market,Pharmaceutical,unknown
,1111,Tsumura & Co.,4540,Prime Market,Pharmaceutical,Q11318805
,1112,Terumo Corporation,4543,Prime Market,Precision Instruments,unknown
,1113,"H.U. Group Holdings,Inc",4544,Prime Market,Services,unknown
,1114,"Kissei Pharmaceutical Co.,Ltd.",4547,Prime Market,Pharmaceutical,unknown
,1115,Seikagaku Corporation,4548,Prime Market,Pharmaceutical,Q11574430
,1116,"Eiken Chemical Co.,Ltd.",4549,Prime Market,Pharmaceutical,unknown
,1117,"Torii Pharmaceutical Co.,Ltd.",4551,Prime Market,Pharmaceutical,unknown
,1118,"Jcr Pharmaceuticals Co.,Ltd.",4552,Prime Market,Pharmaceutical,unknown
,1119,"Towa Pharmaceutical Co.,Ltd.",4553,Prime Market,Pharmaceutical,unknown
,1120,"Fuji Pharma Co.,Ltd.",4554,Prime Market,Pharmaceutical,unknown
,1121,"Zeria Pharmaceutical Co.,Ltd.",4559,Prime Market,Pharmaceutical,unknown
,1122,Sosei Group Corporation,4565,Prime Market,Pharmaceutical,Q28685940
,1123,"Daiichi Sankyo Company,Limited",4568,Prime Market,Pharmaceutical,unknown
,1124,"Kyorin Pharmaceutical Co.,Ltd.",4569,Prime Market,Pharmaceutical,unknown
,1125,"Taiko Pharmaceutical Co.,Ltd.",4574,Prime Market,Pharmaceutical,unknown
,1126,"Daito Pharmaceutical Co.,Ltd.",4577,Prime Market,Pharmaceutical,unknown
,1127,"Otsuka Holdings Co.,Ltd.",4578,Prime Market,Pharmaceutical,unknown
,1129,"Dai Nippon Toryo Company,Limited",4611,Prime Market,Chemicals,unknown
,1130,"Nippon Paint Holdings Co.,Ltd.",4612,Prime Market,Chemicals,unknown
,1131,"Kansai Paint Co.,Ltd.",4613,Prime Market,Chemicals,unknown
,1132,"Chugoku Marine Paints,Ltd.",4617,Prime Market,Chemicals,unknown
,1133,"Taiyo Holdings Co.,Ltd.",4626,Prime Market,Chemicals,unknown
,1134,Dic Corporation,4631,Prime Market,Chemicals,unknown
,1135,Sakata Inx Corporation,4633,Prime Market,Chemicals,unknown
,1136,"Toyo Ink Sc Holdings Co.,Ltd.",4634,Prime Market,Chemicals,unknown
,1138,Altech Corporation,4641,Prime Market,Services,unknown
,1139,"Nippon Air Conditioning Services Co.,Ltd.",4658,Prime Market,Services,unknown
,1140,"Oriental Land Co.,Ltd.",4661,Prime Market,Services,unknown
,1141,Focus Systems Corporation,4662,Prime Market,Information & Communication,unknown
,1142,"Duskin Co.,Ltd.",4665,Prime Market,Services,unknown
,1143,"Park24 Co.,Ltd.",4666,Prime Market,Real Estate,unknown
,1144,"Meiko Network Japan Co.,Ltd.",4668,Prime Market,Services,unknown
,1145,Cresco Ltd.,4674,Prime Market,Information & Communication,unknown
,1146,"Fuji Media Holdings,Inc.",4676,Prime Market,Information & Communication,unknown
,1147,Round One Corporation,4680,Prime Market,Services,unknown
,1148,"Resorttrust,Inc.",4681,Prime Market,Services,unknown
,1149,"Obic Co.,Ltd.",4684,Prime Market,Information & Communication,unknown
,1150,Justsystems Corporation,4686,Prime Market,Information & Communication,unknown
,1151,Tdc Soft Inc,4687,Prime Market,Information & Communication,unknown
,1152,Ly Corporation,4689,Prime Market,Information & Communication,unknown
,1153,"Bml,Inc.",4694,Prime Market,Services,unknown
,1154,Trend Micro Incorporated,4704,Prime Market,Information & Communication,Q700974
,1155,Id Holdings Corporation,4709,Prime Market,Information & Communication,unknown
,1156,"Riso Kyoiku Co.,Ltd.",4714,Prime Market,Services,unknown
,1157,"Waseda Academy Co.,Ltd.",4718,Prime Market,Services,unknown
,1158,Alpha Systems Inc.,4719,Prime Market,Information & Communication,unknown
,1159,Future Corporation,4722,Prime Market,Information & Communication,Q17213696
,1160,Cac Holdings Corporation,4725,Prime Market,Information & Communication,unknown
,1161,Sb Technology Corp.,4726,Prime Market,Information & Communication,unknown
,1162,"Uss Co.,Ltd.",4732,Prime Market,Services,unknown
,1163,"Obic Business Consultants Co.,Ltd.",4733,Prime Market,Information & Communication,Q11293433
,1165,Itfor Inc,4743,Prime Market,Information & Communication,unknown
,1166,"Cyberagent,Inc",4751,Prime Market,Services,unknown
,1167,"Rakuten Group,Inc",4755,Prime Market,Services,unknown
,1168,"Creek & River Co.,Ltd.",4763,Prime Market,Services,unknown
,1169,"Sbi Global Asset Management Co.,Ltd.",4765,Prime Market,Services,unknown
,1170,Otsuka Corporation,4768,Prime Market,Information & Communication,Q11434002
,1171,"Cybozu,Inc",4776,Prime Market,Information & Communication,unknown
,1172,"Yamada Consulting Group Co.,Ltd.",4792,Prime Market,Services,unknown
,1173,"Central Sports Co.,Ltd.",4801,Prime Market,Services,unknown
,1174,Paraca Inc,4809,Prime Market,Real Estate,unknown
,1175,"Information Services International-Dentsu,Ltd.",4812,Prime Market,Information & Communication,unknown
,1176,"Access Co.,Ltd.",4813,Prime Market,Information & Communication,unknown
,1177,"Digital Garage,Inc",4819,Prime Market,Information & Communication,unknown
,1178,"Em Systems Co.,Ltd.",4820,Prime Market,Information & Communication,unknown
,1179,Weathernews Inc.,4825,Prime Market,Information & Communication,unknown
,1180,"Computer Institute Of Japan, Ltd.",4826,Prime Market,Information & Communication,unknown
,1181,Business Engineering Corporation,4828,Prime Market,Information & Communication,unknown
,1182,Wowow Inc.,4839,Prime Market,Information & Communication,unknown
,1184,Intelligent Wave Inc.,4847,Prime Market,Information & Communication,unknown
,1185,"Fullcast Holdings Co.,Ltd.",4848,Prime Market,Services,unknown
,1186,En Japan Inc,4849,Prime Market,Services,unknown
,1190,Fujifilm Holdings Corporation,4901,Prime Market,Chemicals,Q164740
,1191,"Konica Minolta,Inc.",4902,Prime Market,Electric Appliances,unknown
,1192,"Shiseido Company,Limited",4911,Prime Market,Chemicals,unknown
,1193,Lion Corporation,4912,Prime Market,Chemicals,Q1131297
,1194,Takasago International Corporation,4914,Prime Market,Chemicals,Q611119
,1195,Mandom Corporation,4917,Prime Market,Chemicals,unknown
,1196,"Milbon Co.,Ltd.",4919,Prime Market,Chemicals,unknown
,1197,Fancl Corporation,4921,Prime Market,Chemicals,Q11332202
,1198,Kose Corporation,4922,Prime Market,Chemicals,unknown
,1199,"Cota Co.,Ltd.",4923,Prime Market,Chemicals,unknown
,1200,Pola Orbis Holdings Inc.,4927,Prime Market,Chemicals,unknown
,1201,"Noevir Holdings Co.,Ltd.",4928,Prime Market,Chemicals,unknown
,1205,S.T.Corporation,4951,Prime Market,Chemicals,unknown
,1206,"Konishi Co.,Ltd.",4956,Prime Market,Chemicals,unknown
,1207,"T.Hasegawa Co.,Ltd.",4958,Prime Market,Chemicals,unknown
,1209,"Kobayashi Pharmaceutical Co.,Ltd.",4967,Prime Market,Chemicals,unknown
,1210,"Arakawa Chemical Industries,Ltd.",4968,Prime Market,Chemicals,unknown
,1211,Mec Company Ltd.,4971,Prime Market,Chemicals,unknown
,1212,"Japan Pure Chemical Co.,Ltd.",4973,Prime Market,Chemicals,unknown
,1213,Takara Bio Inc.,4974,Prime Market,Chemicals,unknown
,1214,Jcu Corporation,4975,Prime Market,Chemicals,unknown
,1216,Earth Corporation,4985,Prime Market,Chemicals,unknown
,1217,"Kumiai Chemical Industry Co.,Ltd.",4996,Prime Market,Chemicals,unknown
,1218,"Nihon Nohyaku Co.,Ltd.",4997,Prime Market,Chemicals,unknown
,1219,"Nichireki Co.,Ltd.",5011,Prime Market,Oil and Coal Products,unknown
,1220,"Fuji Oil Company,Ltd.",5017,Prime Market,Oil and Coal Products,unknown
,1221,"Idemitsu Kosan Co.,Ltd.",5019,Prime Market,Oil and Coal Products,unknown
,1222,"Eneos Holdings,Inc",5020,Prime Market,Oil and Coal Products,unknown
,1227,"The Yokohama Rubber Company,Limited",5101,Prime Market,Rubber Products,unknown
,1228,Toyo Tire Corporation,5105,Prime Market,Rubber Products,Q568406
,1229,Bridgestone Corporation,5108,Prime Market,Rubber Products,Q179433
,1230,"Sumitomo Rubber Industries,Ltd.",5110,Prime Market,Rubber Products,unknown
,1231,Fujikura Composites Inc,5121,Prime Market,Rubber Products,unknown
,1232,"Okamoto Industries,Inc.",5122,Prime Market,Rubber Products,unknown
,1233,Achilles Corporation,5142,Prime Market,Chemicals,Q11282798
,1234,"Fukoku Co.,Ltd.",5185,Prime Market,Rubber Products,unknown
,1235,Nitta Corporation,5186,Prime Market,Rubber Products,Q11324481
,1236,Sumitomo Riko Company Limited,5191,Prime Market,Rubber Products,unknown
,1237,Mitsuboshi Belting Ltd.,5192,Prime Market,Rubber Products,unknown
,1238,"Bando Chemical Industries,Ltd.",5195,Prime Market,Rubber Products,unknown
,1239,Agc Inc,5201,Prime Market,Glass and Ceramics Products,unknown
,1240,"Nippon Sheet Glass Company,Limited",5202,Prime Market,Glass and Ceramics Products,unknown
,1241,"Arisawa Mfg.Co.,Ltd.",5208,Prime Market,Chemicals,unknown
,1242,"Nippon Electric Glass Co.,Ltd.",5214,Prime Market,Glass and Ceramics Products,unknown
,1243,"Sumitomo Osaka Cement Co.,Ltd.",5232,Prime Market,Glass and Ceramics Products,unknown
,1244,Taiheiyo Cement Corporation,5233,Prime Market,Glass and Ceramics Products,unknown
,1245,"Resol Holdings Co.,Ltd.",5261,Prime Market,Services,unknown
,1246,Nippon Hume Corporation,5262,Prime Market,Glass and Ceramics Products,unknown
,1247,"Nippon Concrete Industries Co.,Ltd.",5269,Prime Market,Glass and Ceramics Products,unknown
,1248,Asia Pile Holdings Corporation,5288,Prime Market,Glass and Ceramics Products,unknown
,1249,"Tokai Carbon Co.,Ltd.",5301,Prime Market,Glass and Ceramics Products,unknown
,1250,"Nippon Carbon Co.,Ltd.",5302,Prime Market,Glass and Ceramics Products,unknown
,1251,"Toyo Tanso Co.,Ltd.",5310,Prime Market,Glass and Ceramics Products,unknown
,1252,"Noritake Co.,Limited",5331,Prime Market,Glass and Ceramics Products,unknown
,1253,Toto Ltd.,5332,Prime Market,Glass and Ceramics Products,Q1751566
,1254,"Ngk Insulators,Ltd.",5333,Prime Market,Glass and Ceramics Products,unknown
,1255,"Niterra Co.,Ltd.",5334,Prime Market,Glass and Ceramics Products,unknown
,1256,"Maruwa Co.,Ltd.",5344,Prime Market,Glass and Ceramics Products,unknown
,1257,"Shinagawa Refractories Co.,Ltd.",5351,Prime Market,Glass and Ceramics Products,unknown
,1258,Krosaki Harima Corporation,5352,Prime Market,Glass and Ceramics Products,Q11678173
,1259,"Yotai Refractories Co.,Ltd.",5357,Prime Market,Glass and Ceramics Products,unknown
,1260,Fujimi Incorporated,5384,Prime Market,Glass and Ceramics Products,Q124791253
,1261,Nichias Corporation,5393,Prime Market,Glass and Ceramics Products,Q11324384
,1262,Nippon Steel Corporation,5401,Prime Market,Iron and Steel,Q651282
,1263,"Kobe Steel,Ltd.",5406,Prime Market,Iron and Steel,unknown
,1264,"Nakayama Steel Works,Ltd.",5408,Prime Market,Iron and Steel,unknown
,1265,"Godo Steel,Ltd.",5410,Prime Market,Iron and Steel,unknown
,1266,"Jfe Holdings,Inc",5411,Prime Market,Iron and Steel,unknown
,1267,"Tokyo Steel Manufacturing Co.,Ltd.",5423,Prime Market,Iron and Steel,unknown
,1268,Kyoei Steel Ltd.,5440,Prime Market,Iron and Steel,unknown
,1269,"Yamato Kogyo Co.,Ltd.",5444,Prime Market,Iron and Steel,unknown
,1270,"Tokyo Tekko Co.,Ltd.",5445,Prime Market,Iron and Steel,unknown
,1271,"Yodogawa Steel Works,Ltd.",5451,Prime Market,Iron and Steel,unknown
,1273,Maruichi Steel Tube Ltd.,5463,Prime Market,Iron and Steel,unknown
,1274,"Daido Steel Co.,Ltd.",5471,Prime Market,Iron and Steel,unknown
,1275,"Nippon Yakin Kogyo Co.,Ltd.",5480,Prime Market,Iron and Steel,Q11086253
,1276,"Sanyo Special Steel Co.,Ltd.",5481,Prime Market,Iron and Steel,unknown
,1277,Aichi Steel Corporation,5482,Prime Market,Iron and Steel,Q403696
,1279,"Pacific Metals Co.,Ltd.",5541,Prime Market,Iron and Steel,unknown
,1280,"Nippon Denko Co.,Ltd.",5563,Prime Market,Iron and Steel,unknown
,1281,"Kurimoto,Ltd.",5602,Prime Market,Iron and Steel,unknown
,1282,"The Japan Steel Works,Ltd.",5631,Prime Market,Machinery,unknown
,1283,"Mitsubishi Steel Mfg.Co.,Ltd.",5632,Prime Market,Iron and Steel,unknown
,1284,"Nippon Seisen Co.,Ltd.",5659,Prime Market,Iron and Steel,unknown
,1286,"Daiki Aluminium Industry Co.,Ltd.",5702,Prime Market,Nonferrous Metals,unknown
,1287,"Nippon Light Metal Holdings Company,Ltd.",5703,Prime Market,Nonferrous Metals,unknown
,1288,"Mitsui Mining And Smelting Company,Limited",5706,Prime Market,Nonferrous Metals,unknown
,1289,"Toho Zinc Co.,Ltd.",5707,Prime Market,Nonferrous Metals,unknown
,1290,Mitsubishi Materials Corporation,5711,Prime Market,Nonferrous Metals,unknown
,1291,"Sumitomo Metal Mining Co.,Ltd.",5713,Prime Market,Nonferrous Metals,unknown
,1292,"Dowa Holdings Co.,Ltd.",5714,Prime Market,Nonferrous Metals,unknown
,1293,"Furukawa Co.,Ltd.",5715,Prime Market,Nonferrous Metals,unknown
,1294,"Osaka Titanium Technologies Co.,Ltd.",5726,Prime Market,Nonferrous Metals,unknown
,1295,"Toho Titanium Company,Limited",5727,Prime Market,Nonferrous Metals,unknown
,1296,Uacj Corporation,5741,Prime Market,Nonferrous Metals,unknown
,1298,"Furukawa Electric Co.,Ltd.",5801,Prime Market,Nonferrous Metals,unknown
,1299,"Sumitomo Electric Industries,Ltd.",5802,Prime Market,Nonferrous Metals,unknown
,1300,Fujikura Ltd.,5803,Prime Market,Nonferrous Metals,unknown
,1301,Swcc Corporation,5805,Prime Market,Nonferrous Metals,unknown
,1302,"Tatsuta Electric Wire And Cable Co.,Ltd.",5809,Prime Market,Nonferrous Metals,unknown
,1303,Hirakawa Hewtech Corp.,5821,Prime Market,Nonferrous Metals,unknown
,1308,"Kyoto Financial Group,Inc",5844,Prime Market,Banks,unknown
,1309,Ryobi Limited,5851,Prime Market,Nonferrous Metals,unknown
,1310,Ahresty Corporation,5852,Prime Market,Nonferrous Metals,unknown
,1311,"Are Holdings,Inc",5857,Prime Market,Nonferrous Metals,unknown
,1312,"Toyo Seikan Group Holdings,Ltd.",5901,Prime Market,Metal Products,unknown
,1313,Hokkan Holdings Limited,5902,Prime Market,Metal Products,unknown
,1314,Yokogawa Bridge Holdings Corp.,5911,Prime Market,Metal Products,unknown
,1315,Komaihaltec Inc,5915,Prime Market,Metal Products,unknown
,1316,Sanwa Holdings Corporation,5929,Prime Market,Metal Products,unknown
,1317,"Bunka Shutter Co.,Ltd.",5930,Prime Market,Metal Products,unknown
,1319,Alinco Incorporated,5933,Prime Market,Metal Products,unknown
,1320,Lixil Corporation,5938,Prime Market,Metal Products,unknown
,1321,Noritz Corporation,5943,Prime Market,Metal Products,unknown
,1322,"Chofu Seisakusho Co.,Ltd.",5946,Prime Market,Metal Products,unknown
,1323,Rinnai Corporation,5947,Prime Market,Metal Products,unknown
,1324,Unipres Corporation,5949,Prime Market,Transportation Equipment,Q11345730
,1325,"Nittoseiko Co.,Ltd.",5957,Prime Market,Metal Products,unknown
,1326,"Okabe Co.,Ltd.",5959,Prime Market,Metal Products,unknown
,1327,G-Tekt Corporation,5970,Prime Market,Metal Products,unknown
,1328,Topre Corporation,5975,Prime Market,Metal Products,Q11523839
,1329,"Neturen Co.,Ltd.",5976,Prime Market,Metal Products,unknown
,1330,"Tokyo Rope Mfg.Co.,Ltd",5981,Prime Market,Metal Products,unknown
,1331,"Piolax,Inc.",5988,Prime Market,Metal Products,unknown
,1332,"H-One Co.,Ltd.",5989,Prime Market,Metal Products,unknown
,1333,"Nhk Spring Co.,Ltd.",5991,Prime Market,Metal Products,unknown
,1334,"Miura Co.,Ltd.",6005,Prime Market,Machinery,unknown
,1335,"Takuma Co.,Ltd.",6013,Prime Market,Machinery,unknown
,1337,"Ir Japan Holdings,Ltd.",6035,Prime Market,Services,unknown
,1340,E-Guardian Inc,6050,Prime Market,Services,unknown
,1341,"Japan Material Co.,Ltd.",6055,Prime Market,Services,unknown
,1342,Vector Inc.,6058,Prime Market,Services,Q11245018
,1343,Charm Care Corporation,6062,Prime Market,Services,unknown
,1345,"Ibj,Inc",6071,Prime Market,Services,unknown
,1354,Tsugami Corporation,6101,Prime Market,Machinery,Q11318711
,1355,Okuma Corporation,6103,Prime Market,Machinery,Q13479653
,1356,"Shibaura Machine Co.,Ltd.",6104,Prime Market,Machinery,unknown
,1357,"Amada Co.,Ltd.",6113,Prime Market,Machinery,unknown
,1358,"Aida Engineering,Ltd.",6118,Prime Market,Machinery,unknown
,1360,"Makino Milling Machine Co.,Ltd.",6135,Prime Market,Machinery,unknown
,1361,Osg Corporation,6136,Prime Market,Machinery,unknown
,1362,"Asahi Diamond Industrial Co.,Ltd.",6140,Prime Market,Machinery,unknown
,1363,"Dmg Mori Co.,Ltd.",6141,Prime Market,Machinery,unknown
,1364,"Sodick Co.,Ltd.",6143,Prime Market,Machinery,unknown
,1365,Disco Corporation,6146,Prime Market,Machinery,Q5281524
,1366,"Nitto Kohki Co.,Ltd.",6151,Prime Market,Machinery,unknown
,1367,"Ns Tool Co.,Ltd.",6157,Prime Market,Machinery,unknown
,1377,Toyota Industries Corporation,6201,Prime Market,Transportation Equipment,Q1476105
,1379,"Shima Seiki Mfg.,Ltd.",6222,Prime Market,Machinery,unknown
,1384,"Hisaka Works,Ltd.",6247,Prime Market,Machinery,unknown
,1385,Yamabiko Corporation,6250,Prime Market,Machinery,Q17224245
,1386,"Nomura Micro Science Co.,Ltd.",6254,Prime Market,Machinery,unknown
,1387,Hirata Corporation,6258,Prime Market,Machinery,Q1419754
,1388,"Pegasus Co.,Ltd.",6262,Prime Market,Machinery,unknown
,1389,"Marumae Co.,Ltd.",6264,Prime Market,Machinery,unknown
,1390,"Tazmo Co.,Ltd.",6266,Prime Market,Machinery,unknown
,1391,Nabtesco Corporation,6268,Prime Market,Machinery,unknown
,1392,"Modec,Inc.",6269,Prime Market,Machinery,unknown
,1393,"Rheon Automatic Machinery Co.,Ltd.",6272,Prime Market,Machinery,unknown
,1394,Smc Corporation,6273,Prime Market,Machinery,unknown
,1395,Hosokawa Micron Corporation,6277,Prime Market,Machinery,unknown
,1396,Union Tool Co.,6278,Prime Market,Machinery,unknown
,1397,Zuiko Corporation,6279,Prime Market,Machinery,unknown
,1398,Oiles Corporation,6282,Prime Market,Machinery,Q11291683
,1399,"Nissei Asb Machine Co.,Ltd.",6284,Prime Market,Machinery,unknown
,1400,Sato Holdings Corporation,6287,Prime Market,Machinery,Q11304901
,1401,Giken Ltd.,6289,Prime Market,Machinery,unknown
,1402,"Nissei Plastic Industrial Co.,Ltd.",6293,Prime Market,Machinery,unknown
,1403,Okada Aiyon Corporation,6294,Prime Market,Machinery,unknown
,1404,"Y.A.C.Holdings Co.,Ltd.",6298,Prime Market,Machinery,unknown
,1405,Komatsu Ltd.,6301,Prime Market,Machinery,Q162257
,1406,"Sumitomo Heavy Industries,Ltd.",6302,Prime Market,Machinery,unknown
,1407,"Hitachi Construction Machinery Co.,Ltd.",6305,Prime Market,Machinery,unknown
,1408,"Nikko Co.,Ltd.",6306,Prime Market,Machinery,unknown
,1409,"Tomoe Engineering Co.,Ltd.(Tomoe Kogyo Co.,Ltd.)",6309,Prime Market,Machinery,unknown
,1410,"Iseki & Co.,Ltd.",6310,Prime Market,Machinery,unknown
,1411,Towa Corporation,6315,Prime Market,Machinery,Q11249950
,1412,Rorze Corporation,6323,Prime Market,Machinery,Q11350970
,1413,Kubota Corporation,6326,Prime Market,Machinery,Q1514221
,1414,"Ebara Jitsugyo Co.,Ltd.",6328,Prime Market,Machinery,unknown
,1415,Toyo Engineering Corporation,6330,Prime Market,Construction,Q7830625
,1416,"Mitsubishi Kakoki Kaisha,Ltd.",6331,Prime Market,Machinery,unknown
,1417,"Tsukishima Holdings Co.,Ltd.",6332,Prime Market,Machinery,unknown
,1418,"Teikoku Electric Mfg. Co.,Ltd.",6333,Prime Market,Machinery,unknown
,1419,"Sintokogio,Ltd.",6339,Prime Market,Machinery,unknown
,1420,Shibuya Corporation,6340,Prime Market,Machinery,unknown
,1421,Aichi Corporation,6345,Prime Market,Machinery,Q11282239
,1422,Komori Corporation,6349,Prime Market,Machinery,Q1671042
,1423,"Tsurumi Manufacturing Co.,Ltd.",6351,Prime Market,Machinery,unknown
,1424,"Sakai Heavy Industries,Ltd.",6358,Prime Market,Machinery,unknown
,1425,Ebara Corporation,6361,Prime Market,Machinery,Q5331498
,1426,"Torishima Pump Mfg.Co.,Ltd.",6363,Prime Market,Machinery,unknown
,1427,"Hokuetsu Industries Co.,Ltd.",6364,Prime Market,Machinery,unknown
,1428,"Daikin Industries,Ltd.",6367,Prime Market,Machinery,unknown
,1429,Organo Corporation,6368,Prime Market,Machinery,Q11292796
,1430,Toyo Kanetsu K.K.,6369,Prime Market,Machinery,unknown
,1431,Kurita Water Industries Ltd.,6370,Prime Market,Machinery,Q6446085
,1432,Tsubakimoto Chain Co.,6371,Prime Market,Machinery,unknown
,1433,"Nikkiso Co.,Ltd.",6376,Prime Market,Precision Instruments,unknown
,1434,Raiznext Corporation,6379,Prime Market,Construction,unknown
,1435,Anest Iwata Corporation,6381,Prime Market,Machinery,unknown
,1436,"Daifuku Co.,Ltd.",6383,Prime Market,Machinery,unknown
,1437,Samco Inc.,6387,Prime Market,Machinery,unknown
,1438,"Kato Works Co.,Ltd.",6390,Prime Market,Machinery,unknown
,1439,Tadano Ltd.,6395,Prime Market,Machinery,unknown
,1440,"Fujitec Co.,Ltd.",6406,Prime Market,Machinery,unknown
,1441,Ckd Corporation,6407,Prime Market,Machinery,unknown
,1442,Heiwa Corporation,6412,Prime Market,Machinery,Q11482167
,1443,Riso Kagaku Corporation,6413,Prime Market,Machinery,Q2068008
,1444,"Sankyo Co.,Ltd.",6417,Prime Market,Machinery,unknown
,1445,"Japan Cash Machine Co.,Ltd.",6418,Prime Market,Machinery,unknown
,1446,Mars Group Holdings Corporation,6419,Prime Market,Machinery,unknown
,1447,Fukushima Galilei Co.Ltd.,6420,Prime Market,Machinery,unknown
,1448,"Daikoku Denki Co.,Ltd.",6430,Prime Market,Machinery,unknown
,1449,"Takeuchi Mfg.Co.,Ltd.",6432,Prime Market,Machinery,unknown
,1450,Amano Corporation,6436,Prime Market,Machinery,Q11284890
,1451,Juki Corporation,6440,Prime Market,Machinery,unknown
